priority,segment,contact,company_project,evidence_link,scenario_hypothesis,audit_offer,first_message,source
P0,Coding agent power user,@nicdunz,Codex Mission Control,https://x.com/nicdunz,"Mac-first control room for Codex users; likely sees long Codex sessions and token/cost friction","Private Codex session Token Audit","Saw Codex Mission Control. We are testing ManXis for long Codex sessions: one redacted task trace in, token waste report out.","following_registry"
P0,Devtools leader,@tnm,OpenAI/devtools,https://x.com/tnm,"OpenAI/devtools background; can judge Codex workflow pain and devtool packaging","Expert feedback plus trace audit","Saw your OpenAI/devtools background. We are benchmarking token waste in long-running Codex/Claude Code workflows and want one hard critique.","following_registry"
P0,AI infra creator,@swyx,Latent Space / Cognition / AI Engineer,https://x.com/swyx,"AI engineer audience overlaps with agent framework builders and high-context workflows","Design partner intro request","We are building ManXis: token audit for long agent tasks. One expensive trace becomes a before/after cost and quality report.","following_registry"
P0,Agentic app platform,@vercel,Vercel,https://x.com/vercel,"Agentic infrastructure for apps and agents; Vercel AI users run tool-heavy app workflows","AI app workflow cost audit","We are auditing where app-building agents burn tokens across tool outputs, repeated context, and retries.","following_registry"
P0,RAG/agent infra,@llama_index,LlamaIndex,https://x.com/llama_index,"RAG and document agents create retrieval/context bloat; traces are natural audit inputs","RAG context bloat audit","ManXis can analyze LlamaIndex-style traces for retrieval bloat, repeated context, and cost savings.","following_registry"
P0,AI gateway,@PortkeyAI,Portkey,https://x.com/PortkeyAI,"Gateway users already track routing/cache/budget; ManXis can layer task-level trace optimization","Gateway-compatible token audit","If a team already has Portkey traces, ManXis can turn them into a token waste map and workflow patch.","following_registry"
P0,LLM observability,@helicone_ai,Helicone,https://x.com/helicone_ai,"Helicone users have request logs, cost, latency, cache data; ideal input for ManXis audit","Helicone trace audit","We want to test a Helicone-trace audit: repeated context, verbose tool output, retry loops, and cache miss opportunities.","following_registry"
P0,Coding agent team,@edwinarbus,Cursor,https://x.com/edwinarbus,"Cursor work implies coding-agent tasks, background agents, multi-file context, and IDE workflow data","Cursor workflow token audit","We are looking for one Cursor-heavy repo task to produce a private token/cost/quality before-after report.","following_registry"
P0,Coding agent founder,@DanielEdrisian,Blackstar / Codex background,https://x.com/DanielEdrisian,"Codex/OpenAI background and agent product signal; likely strong technical evaluator","Technical design critique","We built a Codex-backed company-research agent and want to test token-audit framing with agent builders.","following_registry"
P0,Agent framework founder,@hwchase17,LangChain,https://x.com/hwchase17,"LangChain/LangSmith ecosystem has agent traces, tool calls, evals, and cost observability","LangSmith trace waste audit","ManXis reads agent traces and outputs cost attribution plus workflow patches; LangChain-heavy teams are ideal.","following_registry"
P0,Codex engineer,@thsottiaux,OpenAI Codex,https://x.com/thsottiaux,"Codex product experience; useful feedback on local Codex provider and long task economics","Codex provider demo review","We routed a company-research agent through local Codex CLI. Looking for feedback on this as an agent backend pattern.","following_registry"
P0,Developer platform,@OpenAIDevs,OpenAI Developers,https://x.com/OpenAIDevs,"Codex/OpenAI platform users care about prompt caching, usage, evals, and agent costs","Platform ecosystem feedback","ManXis is a token audit layer for long agent tasks on Codex/Claude/Cursor; seeking platform-facing feedback.","following_registry"
P0,Agent product,@CreaoAI,CreaoAI,https://x.com/CreaoAI,"Super-agent product beyond chat window; likely has long-context task loops and tool overhead","Agent workflow audit","We can audit one long CreaoAI-style workflow for repeated state, tool output bloat, and retry cost.","following_registry"
P0,Claude Code ecosystem,@trq212,Anthropic Claude Code,https://x.com/trq212,"Claude Code builder/user signal; target market matches compact and context governance pain","Claude Code token audit","We are finding where Claude Code long tasks waste tokens and giving compact/memory/tool-output fixes.","following_registry"
P0,OpenClaw ecosystem,@AlphClaw,AlphClaw / OpenClaw logic,https://x.com/AlphClaw,"OpenClaw-related automation; public cost optimization discourse exists around OpenClaw","OpenClaw workflow audit","ManXis can benchmark OpenClaw-style tasks for token, cost, retries, and tool-output waste.","following_registry"
P1,Open model agent stack,@NousResearch,Nous Research,https://x.com/NousResearch,"Open-source AI community; long-agent experiments and evals can use cost/quality audit tooling","Open-source benchmark collaboration","We want to publish a long-agent token benchmark harness with quality guardrails and local traces.","following_registry"
P0,Claude Code community,@adocomplete,Ado / Anthropic Claude Code,https://x.com/adocomplete,"Claude Code community role; can reach power users with compact, hooks, skills, and cost issues","Community design partner sourcing","We are recruiting Claude Code power users for private Token Audit reports on long tasks.","following_registry"
P0,Claude Code tooling,@dani_avila7,Claude Code SubAgents / Skills / Hooks,https://x.com/dani_avila7,"Subagents/skills/hooks create structured long workflows; ideal for state and tool-output optimization","SubAgent workflow audit","ManXis can inspect a subagent workflow trace and return token waste plus skill/memory patch suggestions.","following_registry"
P0,Agent memory,@wey_gu,NowledgeLabs / NowledgeMem,https://x.com/wey_gu,"Memory products face context retention and pruning tradeoffs; direct fit for ManXis context control","Memory boundary audit","We are auditing memory bloat in long agent workflows: what to keep, compress, retrieve, and drop.","following_registry"
P0,Claude Code power user,@plantegg,Claude Code commentator,https://x.com/plantegg,"Public Claude Code/agent commentary; likely reachable early adopter and source of user pain","Power-user audit invite","If you have one expensive Claude Code task, we can return a private token/cost report and compact strategy.","following_registry"
P0,Cursor educator,@GoSailGlobal,Cursor-certified AI products,https://x.com/GoSailGlobal,"Cursor-certified and public AI product builder; can supply coding-agent workflows and student pain","Cursor education benchmark","We want to benchmark real Cursor workflows and turn them into token-saving teaching material.","following_registry"
